dataset,num_frames,artifact_label,perturbation,strength,rgb_levels,solarization_threshold,clips,mean_absolute_rgb_difference,normalized_mean_absolute_rgb_difference,changed_value_ratio,affected_value_ratio,output_levels_r,output_levels_g,output_levels_b,shape_dtype_timeline_ok
diving48,16,rgb-quantization-high,rgb_quantization,high,4,-1,160,21.68800975672404,0.08505101865381975,0.9744395200941298,0.0,4,4,4,True
diving48,16,rgb-quantization-low,rgb_quantization,low,16,-1,160,4.1236553603278265,0.016171197491481673,0.9267669559054904,0.0,16,16,16,True
diving48,16,rgb-quantization-mid,rgb_quantization,mid,8,-1,160,8.821606973859998,0.03459453715239215,0.9573971790737575,0.0,8,8,8,True
diving48,16,solarization-high,solarization,high,0,64,160,63.36238937081231,0.24847995831691103,0.7359077440897623,0.7359077440897623,192,192,192,True
diving48,16,solarization-low,solarization,low,0,192,160,25.208133987850612,0.09885542740333574,0.12411593839857313,0.12411593839857313,192,192,192,True
diving48,16,solarization-mid,solarization,mid,0,128,160,36.99997203530206,0.14509792955020415,0.33991552522447377,0.33991552522447377,128,128,128,True
diving48,32,rgb-quantization-high,rgb_quantization,high,4,-1,160,21.733962868584527,0.0852312269356256,0.9743788513607449,0.0,4,4,4,True
diving48,32,rgb-quantization-low,rgb_quantization,low,16,-1,160,4.123021116256714,0.01616871025983025,0.9265461224450006,0.0,16,16,16,True
diving48,32,rgb-quantization-mid,rgb_quantization,mid,8,-1,160,8.817983920839097,0.03458032910132979,0.9571137909359402,0.0,8,8,8,True
diving48,32,solarization-high,solarization,high,0,64,160,63.47437964079115,0.2489191358462398,0.7391765335930718,0.7391765335930718,192,192,192,True
diving48,32,solarization-low,solarization,low,0,192,160,25.458055999332004,0.0998355137228706,0.12572157287597657,0.12572157287597657,192,192,192,True
diving48,32,solarization-mid,solarization,mid,0,128,160,37.514452956093685,0.1471155017886027,0.3463197337256538,0.3463197337256538,128,128,128,True
ssv2,16,rgb-quantization-high,rgb_quantization,high,4,-1,250,20.41138303685857,0.0800446393602297,0.9441190283469082,0.0,4,4,4,True
ssv2,16,rgb-quantization-low,rgb_quantization,low,16,-1,250,4.045088070289708,0.015863090471724347,0.8982525071598005,0.0,16,16,16,True
ssv2,16,rgb-quantization-mid,rgb_quantization,mid,8,-1,250,8.690028532929462,0.034078543266390045,0.9283471707545685,0.0,8,8,8,True
ssv2,16,solarization-high,solarization,high,0,64,250,59.512890589429354,0.23338388466442883,0.6967015338063439,0.6967015338063439,192,192,192,True
ssv2,16,solarization-low,solarization,low,0,192,250,25.347770121744716,0.0994030200852734,0.13696066553824274,0.13696066553824274,192,192,192,True
ssv2,16,solarization-mid,solarization,mid,0,128,250,43.012672512373314,0.16867714710734633,0.4280356386275105,0.4280356386275105,128,128,128,True
ssv2,32,rgb-quantization-high,rgb_quantization,high,4,-1,250,20.476393515707997,0.08029958241454116,0.944888637522976,0.0,4,4,4,True
ssv2,32,rgb-quantization-low,rgb_quantization,low,16,-1,250,4.046909193053939,0.015870232129623293,0.8989055236561497,0.0,16,16,16,True
ssv2,32,rgb-quantization-mid,rgb_quantization,mid,8,-1,250,8.702999539689465,0.03412940995956653,0.9290652718756851,0.0,8,8,8,True
ssv2,32,solarization-high,solarization,high,0,64,250,59.33017954526132,0.23266737076573069,0.6967747149254088,0.6967747149254088,192,192,192,True
ssv2,32,solarization-low,solarization,low,0,192,250,25.137996321643676,0.09858037773193598,0.13647019680317363,0.13647019680317363,192,192,192,True
ssv2,32,solarization-mid,solarization,mid,0,128,250,42.945647830647175,0.1684143052182242,0.4291053406737098,0.4291053406737098,128,128,128,True
ucf101,16,rgb-quantization-high,rgb_quantization,high,4,-1,250,18.592199835069444,0.07291058758850762,0.871426171875,0.0,4,4,4,True
ucf101,16,rgb-quantization-low,rgb_quantization,low,16,-1,250,3.7080870301649305,0.014541517765352669,0.8303105859375,0.0,16,16,16,True
ucf101,16,rgb-quantization-mid,rgb_quantization,mid,8,-1,250,7.99938916015625,0.031370153569240194,0.8576716710069444,0.0,8,8,8,True
ucf101,16,solarization-high,solarization,high,0,64,250,54.479977491319445,0.2136469705541939,0.6505086848958334,0.6505086848958334,192,192,192,True
ucf101,16,solarization-low,solarization,low,0,192,250,22.806572526041666,0.08943753931781045,0.11477658637152778,0.11477658637152778,192,192,192,True
ucf101,16,solarization-mid,solarization,mid,0,128,250,34.82790333875868,0.1365800130931713,0.34185619466145833,0.34185619466145833,128,128,128,True
ucf101,32,rgb-quantization-high,rgb_quantization,high,4,-1,250,18.596285468207466,0.07292660967924497,0.87154498046875,0.0,4,4,4,True
ucf101,32,rgb-quantization-low,rgb_quantization,low,16,-1,250,3.7080454909939236,0.014541354866642837,0.8303796397569444,0.0,16,16,16,True
ucf101,32,rgb-quantization-mid,rgb_quantization,mid,8,-1,250,8.004024132486979,0.031388329931321485,0.8578139567057291,0.0,8,8,8,True
ucf101,32,solarization-high,solarization,high,0,64,250,54.318275281575524,0.21301284424147265,0.6494459391276042,0.6494459391276042,192,192,192,True
ucf101,32,solarization-low,solarization,low,0,192,250,22.621667662760416,0.08871242220690359,0.113847314453125,0.113847314453125,192,192,192,True
ucf101,32,solarization-mid,solarization,mid,0,128,250,34.653155483398436,0.1358947273858762,0.3409429855685764,0.3409429855685764,128,128,128,True
