dataset,dataset_role,model,checkpoint,run_id,train_n,heldout_n,embedding_dim,linear_probe_original_accuracy,knn_k5_original_accuracy,quality_ok,failed_samples_total
SSV2,motion-oriented,VideoMAE,MCG-NJU/videomae-base,ssv2-c50-train100-heldout30-videomae-base-frozen-linear-probe,5000,1500,768,0.2460000067949295,0.09933333333333333,True,0
UCF101,appearance-rich / context-correlated contrast,VideoMAE,MCG-NJU/videomae-base,ucf101-c50-train100-heldout30-videomae-base-frozen-linear-probe,5000,1500,768,0.8533333539962769,0.836,True,0
Diving48,fine-grained motion / pose contrast,VideoMAE,MCG-NJU/videomae-base,diving48-c32-train50-heldout15-videomae-base-frozen-linear-probe,1600,480,768,0.0729166641831398,0.0375,True,0
SSV2,motion-oriented,SlowFast R50 8x8,facebookresearch/pytorchvideo:slowfast_r50,ssv2-c50-train100-heldout30-slowfast-r50-8x8-frozen-linear-probe,5000,1500,9216,0.33933332562446594,0.20333333333333334,True,0
UCF101,appearance-rich / context-correlated contrast,SlowFast R50 8x8,facebookresearch/pytorchvideo:slowfast_r50,ucf101-c50-train100-heldout30-slowfast-r50-8x8-frozen-linear-probe,5000,1500,9216,0.9940000176429749,0.9933333333333333,True,0
Diving48,fine-grained motion / pose contrast,SlowFast R50 8x8,facebookresearch/pytorchvideo:slowfast_r50,diving48-c32-train50-heldout15-slowfast-r50-8x8-frozen-linear-probe,1600,480,9216,0.09375,0.07291666666666667,True,0
SSV2,motion-oriented,DINOv2 frame-mean,facebook/dinov2-base,ssv2-c50-train100-heldout30-dinov2-base-frame-mean-frozen-linear-probe,5000,1500,768,0.29733332991600037,0.194,True,0
UCF101,appearance-rich / context-correlated contrast,DINOv2 frame-mean,facebook/dinov2-base,ucf101-c50-train100-heldout30-dinov2-base-frame-mean-frozen-linear-probe,5000,1500,768,0.9900000095367432,0.9773333333333334,True,0
Diving48,fine-grained motion / pose contrast,DINOv2 frame-mean,facebook/dinov2-base,diving48-c32-train50-heldout15-dinov2-base-frame-mean-frozen-linear-probe,1600,480,768,0.09583333134651184,0.08958333333333333,True,0
HMDB51,action-recognition,V-JEPA2,facebook/vjepa2-vitl-fpc64-256,hmdb51-full-split1-vjepa2-vitl-fpc64-256-frozen-linear-probe,3551,1524,1024,0.6279527544975281,0.468503937007874,True,0
HMDB51,action-recognition,VideoMAE,MCG-NJU/videomae-base,hmdb51-full-split1-videomae-base-frozen-linear-probe,3551,1524,768,0.35958003997802734,0.1679790026246719,True,0
HMDB51,action-recognition,SlowFast R50 8x8,facebookresearch/pytorchvideo:slowfast_r50,hmdb51-full-split1-slowfast-r50-8x8-frozen-linear-probe,3551,1524,9216,0.7191600799560547,0.6141732283464567,True,0
Kinetics,large-scale web-video,VideoMAE,MCG-NJU/videomae-base,kinetics-c50-train100-heldout30-videomae-base-frozen-linear-probe,5000,1500,768,0.4573333263397217,0.19466666666666665,True,0
Kinetics,large-scale web-video,DisMo,motion_extractor_large,kinetics-c50-train100-heldout30-dismo-motion-extractor-large-frozen-linear-probe,5000,1500,128,0.34599998593330383,0.20266666666666666,True,0
Kinetics,large-scale web-video,V-JEPA2,facebook/vjepa2-vitl-fpc64-256,kinetics-c50-train100-heldout30-vjepa2-vitl-fpc64-256-frozen-linear-probe,5000,1500,1024,0.7179999947547913,0.5213333333333333,True,0
HMDB51,action-recognition,DINOv2 frame-mean,facebook/dinov2-base,hmdb51-full-split1-dinov2-base-frame-mean-frozen-linear-probe,3551,1524,768,0.6325459480285645,0.5295275590551181,True,0
Kinetics,large-scale web-video,DINOv2 frame-mean,facebook/dinov2-base,kinetics-c50-train100-heldout30-dinov2-base-frame-mean-frozen-linear-probe,5000,1500,768,0.8306666612625122,0.784,True,0
Kinetics,large-scale web-video,SlowFast R50 8x8,facebookresearch/pytorchvideo:slowfast_r50,kinetics-c50-train100-heldout30-slowfast-r50-8x8-frozen-linear-probe,5000,1500,9216,0.9206666946411133,0.892,True,0
Diving48,fine-grained motion / pose contrast,DisMo,motion_extractor_large,diving48-c32-train50-heldout15-dismo-motion-extractor-large-frozen-linear-probe,1600,480,128,0.09791667014360428,0.07291666666666667,True,0
Diving48,fine-grained motion / pose contrast,V-JEPA2,facebook/vjepa2-vitl-fpc64-256,diving48-c32-train50-heldout15-vjepa2-vitl-fpc64-256-frozen-linear-probe,1600,480,1024,0.08541666716337204,0.08333333333333333,True,0
HMDB51,action-recognition,DisMo,motion_extractor_large,hmdb51-full-split1-dismo-motion-extractor-large-frozen-linear-probe,3551,1524,128,0.4730971157550812,0.3720472440944882,True,0
