sweep_name,base_perturbation,group,parameter,case_label,case_value,mean_cosine_distance,median_cosine_distance,mean_l2_distance,k1_all_perturbed_accuracy,k1_all_accuracy_drop,k1_train_seen_perturbed_accuracy,k1_train_seen_accuracy_drop,k1_prediction_change_rate,mean_cosine_distance_direction,k1_all_accuracy_drop_direction
center_occlusion_size_fraction,center_occlusion,appearance,occlusion_size_fraction,0.15,0.15,0.0008885003626346588,0.0008469521999359131,0.5844346880912781,0.086,-0.001999999999999988,0.086,-0.001999999999999988,0.3333333333333333,increasing,increasing
center_occlusion_size_fraction,center_occlusion,appearance,occlusion_size_fraction,0.25,0.25,0.0027728218119591475,0.0026792585849761963,1.026992917060852,0.08533333333333333,-0.0013333333333333253,0.08533333333333333,-0.0013333333333333253,0.5566666666666666,increasing,increasing
center_occlusion_size_fraction,center_occlusion,appearance,occlusion_size_fraction,0.4,0.4,0.012874752283096313,0.013087481260299683,2.1800906658172607,0.059333333333333335,0.02466666666666667,0.059333333333333335,0.02466666666666667,0.8706666666666667,increasing,increasing
freeze_tail_start_fraction,freeze_tail,motion,freeze_start_fraction,0.25,0.25,0.012560552917420864,0.008215606212615967,1.971970558166504,0.03666666666666667,0.04733333333333334,0.03666666666666667,0.04733333333333334,0.8246666666666667,decreasing,decreasing
freeze_tail_start_fraction,freeze_tail,motion,freeze_start_fraction,0.5,0.5,0.004983745981007814,0.0029893815517425537,1.1999469995498657,0.059333333333333335,0.02466666666666667,0.059333333333333335,0.02466666666666667,0.6366666666666667,decreasing,decreasing
freeze_tail_start_fraction,freeze_tail,motion,freeze_start_fraction,0.75,0.75,0.0010385859059169888,0.0005404949188232422,0.5267213582992554,0.07,0.013999999999999999,0.07,0.013999999999999999,0.31733333333333336,decreasing,decreasing
single_frame_position,single_frame,motion,frame_index,first,0,0.02570844441652298,0.018618673086166382,2.893716812133789,0.014666666666666666,0.06933333333333334,0.014666666666666666,0.06933333333333334,0.9046666666666666,,
single_frame_position,single_frame,motion,frame_index,center,,0.024057459086179733,0.017450004816055298,2.809192657470703,0.025333333333333333,0.05866666666666667,0.025333333333333333,0.05866666666666667,0.8973333333333333,,
single_frame_position,single_frame,motion,frame_index,last,15,0.02574782632291317,0.01872771978378296,2.904355525970459,0.027333333333333334,0.05666666666666667,0.027333333333333334,0.05666666666666667,0.9093333333333333,,
temporal_shuffle_seed_repeat,temporal_shuffle,motion,seed,0,0,0.02287355065345764,0.013153791427612305,2.5174107551574707,0.037333333333333336,0.04666666666666667,0.037333333333333336,0.04666666666666667,0.8206666666666667,non_monotonic,decreasing
temporal_shuffle_seed_repeat,temporal_shuffle,motion,seed,1,1,0.02230466715991497,0.013248860836029053,2.4958763122558594,0.042,0.042,0.042,0.042,0.816,non_monotonic,decreasing
temporal_shuffle_seed_repeat,temporal_shuffle,motion,seed,2,2,0.022700434550642967,0.01326841115951538,2.518371820449829,0.043333333333333335,0.04066666666666667,0.043333333333333335,0.04066666666666667,0.8173333333333334,non_monotonic,decreasing
