perturbation,artifact_label,group,role,strength,mean_cosine_distance,median_cosine_distance,cosine_distance_ci_lower,cosine_distance_ci_upper,linear_probe_original_accuracy,linear_probe_perturbed_accuracy,linear_probe_accuracy_drop,linear_probe_accuracy_drop_ci_lower,linear_probe_accuracy_drop_ci_upper,correct_to_incorrect_rate,correct_to_incorrect_ci_lower,correct_to_incorrect_ci_upper,knn_k,knn_accuracy_drop,knn_prediction_change_rate
temporal_shuffle,temporal-shuffle-mid,motion,fixed_mid,,3.308761620246514e-08,0.0,3.0428093822365554e-08,3.582536223234456e-08,0.6325459480285645,0.6325459480285645,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0
freeze_tail,freeze-tail-low,motion,curve,low,0.001673681428655982,0.0009990036487579346,0.0015723645919933915,0.0017903699772432446,0.6325459480285645,0.6220472455024719,0.010498687624931335,0.0058891079388558865,0.015748031437397003,0.011154855601489544,0.006561679765582085,0.016404200345277786,5,0.001312335958005173,0.03937007874015748
freeze_tail,freeze-tail-mid,motion,curve,mid,0.011105370707809925,0.007486969232559204,0.01051480695605278,0.011708008125424385,0.6325459480285645,0.6194225549697876,0.01312335953116417,0.003937007859349251,0.02296588011085987,0.02493438310921192,0.017700131982564926,0.03280840069055557,5,0.0006561679790025865,0.09055118110236221
freeze_tail,freeze-tail-high,motion,curve,high,0.03211699798703194,0.021933823823928833,0.030166223645210266,0.03428920358419418,0.6325459480285645,0.6043307185173035,0.02821522392332554,0.015748031437397003,0.04199475049972534,0.04921259731054306,0.038713909685611725,0.05907154083251953,5,0.006561679790026198,0.15879265091863518
color_transform,color-low,appearance,curve,low,4.997841460863128e-05,3.758072853088379e-05,4.7486879338975996e-05,5.239794700173661e-05,0.6325459480285645,0.6312335729598999,0.001312335953116417,0.0,0.0032808398827910423,0.001312335953116417,0.0,0.0032808398827910423,5,0.0,0.010498687664041995
color_transform,color-mid,appearance,curve,mid,0.000758343783672899,0.0005983710289001465,0.0007265015738084912,0.0007914440357126296,0.6325459480285645,0.6318897604942322,0.0006561679765582085,-0.003937007859349251,0.005905511789023876,0.004593175835907459,0.001312335953116417,0.00853018369525671,5,0.0045931758530183275,0.02821522309711286
color_transform,color-high,appearance,curve,high,0.007313246373087168,0.0061109066009521484,0.007069258950650692,0.007551994174718857,0.6325459480285645,0.6246719360351562,0.007874015718698502,0.0,0.016404200345277786,0.016404200345277786,0.010498687624931335,0.02296588011085987,5,0.017716535433070835,0.08070866141732283
spatial_blur,spatial-blur-mid,appearance,fixed_mid,,0.037913139909505844,0.031294673681259155,0.03659693896770477,0.039227019995450974,0.6325459480285645,0.6135170459747314,0.01902887225151062,0.005905511789023876,0.03346456587314606,0.04593176022171974,0.03608923777937889,0.0564468689262867,5,0.005249343832020914,0.15616797900262466
rgb_quantization,rgb-quantization-low,appearance,curve,low,0.02662002295255661,0.017802417278289795,0.025180943310260773,0.028134360909461975,0.6325459480285645,0.6194225549697876,0.01312335953116417,0.0006561679765582085,0.025606973096728325,0.03740157559514046,0.02821522392332554,0.04790026322007179,5,0.009842519685039353,0.12992125984251968
rgb_quantization,rgb-quantization-mid,appearance,curve,mid,0.10746167600154877,0.08329999446868896,0.10343284159898758,0.11154008656740189,0.6325459480285645,0.5761154890060425,0.05643044784665108,0.03805774450302124,0.0761319100856781,0.09448818862438202,0.08070866018533707,0.11023622006177902,5,0.04396325459317579,0.26443569553805774
rgb_quantization,rgb-quantization-high,appearance,curve,high,0.28098276257514954,0.2524701654911041,0.27420592308044434,0.28770461678504944,0.6325459480285645,0.4796587824821472,0.15288713574409485,0.12662401795387268,0.17849411070346832,0.2066929191350937,0.18633529543876648,0.22900262475013733,5,0.08595800524934377,0.4166666666666667
solarization,solarization-low,appearance,curve,low,0.08989698439836502,0.0708666741847992,0.08535604178905487,0.09463567286729813,0.6325459480285645,0.5944882035255432,0.03805774450302124,0.021653544157743454,0.05511811003088951,0.0715223103761673,0.05967847630381584,0.08530183881521225,5,0.01640419947506555,0.2020997375328084
solarization,solarization-mid,appearance,curve,mid,0.10378988087177277,0.08573240041732788,0.09976471960544586,0.10833368450403214,0.6325459480285645,0.5879265069961548,0.044619422405958176,0.027559055015444756,0.06300854682922363,0.08464566618204117,0.07216206938028336,0.10039369761943817,5,0.011154855643044526,0.2283464566929134
solarization,solarization-high,appearance,curve,high,0.2969026267528534,0.28154540061950684,0.29096853733062744,0.30311617255210876,0.6325459480285645,0.467191606760025,0.16535432636737823,0.13976377248764038,0.190288707613945,0.2145669311285019,0.19356955587863922,0.23623690009117126,5,0.09186351706036738,0.4461942257217848
